district|CY-04|Ammochostos||el|ELOT 743:1982 = ISO 843:1997 = UN V/19 1987|
district|CY-05|Baf||tr||
district|CY-06|Girne||tr||
district|CY-06|Keryneia||el|ELOT 743:1982 = ISO 843:1997 = UN V/19 1987|
district|CY-03|Larnaka||el|ELOT 743:1982 = ISO 843:1997 = UN V/19 1987|
district|CY-03|Larnaka||tr||
district|CY-01|Lefkosia||el|ELOT 743:1982 = ISO 843:1997 = UN V/19 1987|
district|CY-01|Lefkoşa||tr||
district|CY-02|Lemesos||el|ELOT 743:1982 = ISO 843:1997 = UN V/19 1987|
district|CY-02|Leymasun||tr||
district|CY-04|Mağusa||tr||
district|CY-05|Pafos||el|ELOT 743:1982 = ISO 843:1997 = UN V/19 1987|
