state|MY-01|Johor||ms||
state|MY-02|Kedah||ms||
state|MY-03|Kelantan||ms||
state|MY-04|Melaka||ms||
state|MY-05|Negeri Sembilan||ms||
state|MY-06|Pahang||ms||
state|MY-08|Perak||ms||
state|MY-09|Perlis||ms||
state|MY-07|Pulau Pinang||ms||
state|MY-12|Sabah||ms||
state|MY-13|Sarawak||ms||
state|MY-10|Selangor||ms||
state|MY-11|Terengganu||ms||
federal territory|MY-14|Wilayah Persekutuan Kuala Lumpur||ms||
federal territory|MY-15|Wilayah Persekutuan Labuan||ms||
federal territory|MY-16|Wilayah Persekutuan Putrajaya||ms||
